iter	Passed	Remaining
0	0	799
1	1	725
2	2	692
3	2	658
4	3	638
5	3	613
6	4	605
7	4	605
8	5	610
9	6	611
10	6	609
11	7	606
12	7	601
13	8	602
14	9	597
15	9	596
16	10	592
17	10	587
18	11	583
19	11	587
20	12	589
21	13	587
22	13	586
23	14	584
24	14	583
25	15	580
26	16	578
27	16	577
28	17	575
29	17	574
30	18	577
31	19	578
32	19	577
33	20	574
34	20	573
35	21	571
36	22	573
37	22	571
38	23	568
39	23	566
40	24	567
41	24	568
42	25	566
43	26	565
44	26	564
45	27	562
46	27	562
47	28	561
48	28	559
49	29	556
50	29	555
51	30	555
52	31	555
53	31	554
54	32	553
55	32	551
56	33	549
57	33	548
58	34	547
59	34	545
60	35	543
61	35	543
62	36	542
63	37	542
64	37	542
65	38	541
66	38	541
67	39	540
68	40	541
69	40	540
70	41	539
71	41	538
72	42	538
73	42	537
74	43	537
75	44	538
76	44	536
77	45	536
78	45	535
79	46	533
80	47	533
81	47	532
82	47	528
83	48	527
84	48	527
85	49	527
86	50	527
87	50	526
88	51	525
89	51	525
90	52	524
91	53	524
92	53	524
93	54	523
94	54	521
95	55	521
96	56	522
97	56	521
98	57	521
99	57	520
100	58	519
101	58	518
102	59	517
103	59	516
104	60	515
105	61	515
106	61	514
107	62	513
108	62	513
109	63	512
110	63	512
111	64	511
112	65	510
113	65	509
114	66	508
115	66	507
116	67	511
117	68	511
118	69	512
119	69	511
120	70	511
121	70	510
122	71	509
123	72	510
124	72	509
125	73	509
126	73	508
127	74	508
128	75	508
129	76	509
130	76	509
131	77	508
132	77	507
133	78	506
134	78	505
135	79	504
136	79	503
137	80	502
138	81	502
139	81	503
140	82	502
141	83	501
142	83	501
143	84	501
144	84	500
145	85	500
146	86	499
147	86	498
148	87	498
149	87	498
150	88	498
151	89	497
152	90	499
153	90	498
154	91	497
155	91	497
156	92	496
157	92	495
158	93	494
159	94	495
160	94	494
161	95	493
162	96	493
163	96	492
164	97	491
165	97	490
166	98	489
167	98	488
168	99	487
169	99	487
170	100	487
171	101	486
172	101	485
173	102	485
174	102	484
175	103	483
176	103	482
177	104	481
178	104	480
179	105	479
180	105	478
181	106	478
182	107	478
183	107	477
184	108	476
185	108	476
186	109	475
187	109	474
188	110	473
189	110	472
190	111	472
191	112	472
192	112	472
193	113	471
194	114	470
195	114	470
196	115	469
197	115	468
198	116	467
199	116	466
200	117	465
201	117	464
202	118	464
203	118	463
204	119	463
205	119	462
206	120	461
207	121	461
208	121	460
209	122	459
210	122	458
211	123	457
212	123	457
213	124	456
214	124	456
215	125	455
216	126	455
217	126	454
218	127	453
219	127	452
220	128	451
221	128	450
222	129	450
223	129	449
224	130	448
225	130	448
226	131	447
227	132	447
228	132	446
229	133	445
230	133	444
231	134	443
232	134	443
233	135	442
234	135	441
235	136	441
236	136	440
237	137	440
238	138	439
239	138	438
240	139	438
241	139	437
242	140	437
243	140	436
244	141	435
245	141	434
246	142	433
247	142	433
248	143	432
249	144	432
250	144	431
251	145	430
252	145	430
253	146	429
254	146	428
255	147	427
256	147	427
257	148	426
258	148	426
259	149	425
260	150	425
261	150	424
262	151	423
263	151	423
264	152	422
265	152	421
266	153	421
267	153	420
268	154	419
269	154	419
270	155	418
271	155	417
272	156	417
273	157	416
274	157	415
275	158	415
276	158	414
277	159	413
278	159	413
279	160	412
280	161	412
281	161	411
282	162	410
283	162	410
284	163	409
285	163	409
286	164	408
287	165	408
288	165	407
289	166	407
290	166	406
291	167	406
292	168	405
293	168	405
294	169	404
295	169	403
296	170	402
297	170	402
298	171	401
299	171	401
300	172	400
301	172	399
302	173	398
303	173	398
304	174	397
305	175	397
306	175	396
307	176	395
308	176	394
309	177	394
310	177	393
311	178	392
312	178	392
313	179	391
314	179	391
315	180	390
316	181	390
317	181	389
318	182	388
319	182	388
320	183	387
321	183	386
322	184	386
323	184	385
324	185	384
325	185	384
326	186	383
327	186	382
328	187	382
329	188	381
330	188	381
331	189	380
332	189	380
333	190	379
334	190	378
335	191	378
336	191	377
337	192	376
338	192	376
339	193	376
340	194	375
341	194	374
342	195	374
343	195	373
344	196	373
345	197	372
346	197	371
347	198	371
348	198	370
349	199	369
350	199	369
